2018/07/01 14:35:30 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.17.0.1, server: localhost, request: "GET /demo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "127.0.0.1"
2018/07/01 14:35:30 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.17.0.1, server: localhost, request: "GET /demo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "127.0.0.1"
2018/07/01 14:35:31 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.17.0.1, server: localhost, request: "GET /demo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "127.0.0.1"
2018/07/01 14:35:31 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.17.0.1, server: localhost, request: "GET /demo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "127.0.0.1"
2018/07/01 14:35:31 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.17.0.1, server: localhost, request: "GET /demo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "127.0.0.1"
2018/07/01 14:35:31 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.17.0.1, server: localhost, request: "GET /demo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "127.0.0.1"
2018/07/01 14:35:31 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.17.0.1, server: localhost, request: "GET /demo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "127.0.0.1"
2018/07/01 14:35:32 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.17.0.1, server: localhost, request: "GET /demo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "127.0.0.1"
2018/07/01 14:35:32 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.17.0.1, server: localhost, request: "GET /demo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "127.0.0.1"
2018/07/01 14:35:32 [error] 6#6: *8 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 172.17.0.1, server: localhost, request: "GET /demo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "127.0.0.1"
